0.292,0.355,0.355
0.327,0.292,0.324
0.323,0.327,0.325
0.319,0.323,0.324
0.328,0.319,0.323
0.318,0.328,0.324
0.279,0.318,0.323
0.307,0.279,0.317
0.287,0.307,0.316
0.3,0.287,0.313
0.298,0.3,0.312
0.327,0.298,0.311
0.265,0.327,0.312
0.335,0.312,0.293
0.316,0.335,0.311
0.289,0.316,0.313
0.308,0.289,0.307
0.3,0.308,0.307
0.301,0.3,0.306
0.259,0.248,0.258
0.249,0.259,0.259
0.271,0.249,0.257
0.298,0.292,0.292
0.285,0.298,0.295
0.234,0.273,0.262
0.286,0.271,0.250
0.285,0.286,0.258
0.227,0.285,0.262
0.302,0.281,0.273
0.278,0.315,0.288
0.304,0.278,0.285
0.324,0.304,0.290
0.243,0.324,0.296
0.308,0.243,0.289
0.259,0.308,0.292
0.289,0.259,0.288
0.24,0.269,0.269
0.302,0.318,0.317
0.317,0.302,0.310
0.307,0.317,0.312
0.263,0.307,0.311
0.288,0.263,0.302
0.279,0.288,0.300
0.295,0.279,0.297
0.308,0.295,0.297
0.233,0.301,0.299
0.299,0.252,0.238
0.287,0.299,0.264
0.245,0.287,0.271
0.251,0.261,0.261
0.245,0.251,0.257
0.266,0.245,0.253
0.271,0.266,0.256
0.287,0.271,0.259
0.233,0.287,0.263
0.247,0.258,0.258
0.252,0.261,0.265
0.295,0.266,0.266
0.287,0.295,0.282
0.295,0.287,0.283
0.31,0.295,0.286
0.326,0.31,0.291
0.328,0.3,0.298
0.333,0.328,0.302
0.282,0.333,0.304
0.323,0.282,0.302
0.31,0.323,0.304
0.336,0.31,0.304
0.266,0.336,0.306
0.258,0.266,0.304
0.251,0.248,0.238
0.26,0.251,0.243
0.239,0.26,0.247
0.238,0.239,0.246
0.324,0.263,0.270
0.235,0.324,0.280
0.316,0.289,0.277
0.281,0.316,0.291
0.253,0.281,0.289
0.297,0.253,0.283
0.327,0.297,0.285
0.274,0.327,0.293
0.317,0.274,0.290
0.282,0.317,0.294
0.271,0.282,0.293
0.288,0.271,0.291
0.263,0.292,0.283
0.248,0.263,0.279
0.306,0.248,0.274
0.279,0.306,0.279
0.338,0.342,0.287
0.332,0.338,0.301
0.331,0.332,0.307
0.297,0.331,0.312
0.315,0.297,0.309
0.307,0.315,0.310
0.295,0.307,0.310
0.339,0.286,0.282
0.292,0.281,0.292
0.312,0.292,0.292
0.331,0.355,0.303
0.275,0.331,0.306
0.28,0.275,0.303
0.293,0.28,0.300
0.318,0.303,0.274
0.274,0.318,0.287
0.23,0.274,0.285
0.245,0.247,0.257
0.256,0.245,0.254
0.223,0.256,0.254
0.263,0.271,0.238
0.263,0.263,0.244
0.262,0.263,0.247
0.297,0.262,0.250
0.288,0.297,0.257
0.236,0.288,0.261
0.282,0.236,0.259
0.257,0.282,0.261
0.202,0.257,0.261
0.303,0.285,0.300
0.294,0.303,0.301
0.303,0.294,0.299
0.286,0.303,0.300
0.289,0.286,0.297
0.306,0.289,0.296
0.315,0.306,0.297
0.301,0.315,0.299
0.258,0.293,0.270
0.27,0.258,0.266
0.271,0.263,0.260
0.293,0.271,0.265
0.253,0.293,0.274
0.264,0.256,0.249
0.249,0.239,0.210
0.277,0.257,0.257
0.272,0.277,0.267
0.241,0.272,0.268
0.25,0.241,0.262
0.266,0.25,0.259
0.225,0.266,0.260
0.276,0.225,0.256
0.233,0.276,0.259
0.264,0.233,0.256
0.28,0.264,0.257
0.313,0.28,0.259
0.232,0.313,0.263
0.257,0.232,0.261
0.271,0.257,0.261
0.261,0.279,0.254
0.233,0.261,0.255
0.218,0.233,0.251
0.268,0.218,0.244
0.291,0.266,0.266
0.214,0.266,0.257
0.28,0.214,0.239
0.263,0.28,0.252
0.252,0.263,0.255
0.294,0.252,0.254
0.225,0.294,0.260
0.281,0.266,0.262
0.271,0.281,0.270
0.324,0.271,0.270
0.257,0.324,0.283
0.277,0.257,0.279
0.269,0.266,0.257
0.275,0.269,0.259
0.266,0.275,0.262
0.232,0.266,0.263
0.257,0.232,0.259
0.229,0.257,0.259
0.248,0.229,0.256
0.273,0.28,0.276
0.312,0.288,0.278
0.321,0.312,0.293
0.314,0.321,0.301
0.314,0.314,0.303
0.254,0.314,0.305
0.281,0.254,0.298
0.266,0.281,0.296
0.273,0.294,0.294
0.32,0.273,0.283
0.368,0.32,0.295
0.29,0.368,0.309
0.315,0.29,0.306
0.286,0.315,0.307
0.304,0.286,0.304
0.304,0.304,0.304
0.31,0.304,0.304
0.288,0.31,0.305
0.291,0.288,0.303
0.278,0.291,0.302
0.266,0.278,0.300
0.281,0.228,0.224
0.256,0.281,0.250
0.233,0.251,0.255
0.273,0.233,0.252
0.28,0.273,0.255
0.264,0.31,0.308
0.229,0.264,0.284
0.28,0.271,0.268
0.304,0.28,0.272
0.309,0.304,0.279
0.296,0.309,0.285
0.293,0.296,0.287
0.277,0.293,0.288
0.309,0.277,0.286
0.284,0.309,0.288
0.295,0.284,0.288
0.253,0.295,0.289
0.313,0.253,0.286
0.301,0.311,0.290
0.288,0.321,0.305
0.256,0.288,0.296
0.261,0.256,0.283
0.262,0.291,0.276
0.274,0.262,0.274
0.294,0.274,0.274
0.32,0.294,0.276
0.3,0.32,0.280
0.26,0.3,0.282
0.243,0.244,0.234
0.229,0.243,0.238
0.28,0.289,0.289
0.281,0.251,0.242
0.263,0.281,0.260
0.271,0.263,0.260
0.236,0.271,0.263
0.287,0.236,0.258
0.243,0.287,0.263
0.23,0.243,0.260
0.24,0.23,0.257
0.25,0.24,0.255
